,song_data,audio_feature,albums,artists
3pqXhSXgasqhTf865mbpYi,"{'id': '3pqXhSXgasqhTf865mbpYi', 'duration_ms': 98089, 'name': 'PAIN!', 'popularity': 50}","{'danceability': 0.746, 'energy': 0.485, 'loudness': -10.318, 'speechiness': 0.227, 'acousticness': 0.056, 'instrumentalness': 0.68, 'liveness': 0.114, 'valence': 0.351, 'tempo': 163.06}","{'id': '7lxeegF1y69PXsUXWiLVvf', 'name': 'PAIN!', 'release_date': '2022-11-30'}","{'id': '2RDOrhPqAM4jzTRCEb19qX', 'name': 'Sheck Wes'}"
5wIoCFiqMUXwtjKcojsKa9,"{'id': '5wIoCFiqMUXwtjKcojsKa9', 'duration_ms': 156013, 'name': 'Losing My Mind', 'popularity': 50}","{'danceability': 0.81, 'energy': 0.272, 'loudness': -11.374, 'speechiness': 0.163, 'acousticness': 0.239, 'instrumentalness': 0.785, 'liveness': 0.0885, 'valence': 0.184, 'tempo': 80.048}","{'id': '72GL4Ec1oLuVwP87qdYupd', 'name': 'Losing My Mind', 'release_date': '2019-07-18'}","{'id': '2RDOrhPqAM4jzTRCEb19qX', 'name': 'Sheck Wes'}"
2ayvMaVf5RAXnNQwHvArB7,"{'id': '2ayvMaVf5RAXnNQwHvArB7', 'duration_ms': 146666, 'name': 'MVP', 'popularity': 48}","{'danceability': 0.749, 'energy': 0.761, 'loudness': -4.67, 'speechiness': 0.16, 'acousticness': 0.113, 'instrumentalness': 0, 'liveness': 0.066, 'valence': 0.512, 'tempo': 144.019}","{'id': '36zw4Ir1YqmiCUlhYpJuRx', 'name': 'MVP', 'release_date': '2022-05-20'}","{'id': '2RDOrhPqAM4jzTRCEb19qX', 'name': 'Sheck Wes'}"
3Ahh4FUw5EfmjMzOBjjnwY,"{'id': '3Ahh4FUw5EfmjMzOBjjnwY', 'duration_ms': 180800, 'name': 'Mindfucker', 'popularity': 47}","{'danceability': 0.804, 'energy': 0.282, 'loudness': -10.543, 'speechiness': 0.342, 'acousticness': 0.302, 'instrumentalness': 8.67e-06, 'liveness': 0.151, 'valence': 0.0723, 'tempo': 151.988}","{'id': '15Id9Jrqab8IwHFirdrrLp', 'name': 'MUDBOY', 'release_date': '2018-10-05'}","{'id': '2RDOrhPqAM4jzTRCEb19qX', 'name': 'Sheck Wes'}"
0vjeOZ3Ft5jvAi9SBFJm1j,"{'id': '0vjeOZ3Ft5jvAi9SBFJm1j', 'duration_ms': 182666, 'name': 'Superhero (Heroes & Villains) [with Future & Chris Brown]', 'popularity': 90}","{'danceability': 0.526, 'energy': 0.606, 'loudness': -5.3, 'speechiness': 0.259, 'acousticness': 0.152, 'instrumentalness': 2.36e-06, 'liveness': 0.194, 'valence': 0.492, 'tempo': 116.622}","{'id': '7txGsnDSqVMoRl6RQ9XyZP', 'name': 'HEROES & VILLAINS', 'release_date': '2022-12-02'}","{'id': '0iEtIxbK0KxaSlF7G42ZOp', 'name': 'Metro Boomin'}"
2Hh3ETdQKrmSI3QS0hme7g,"{'id': '2Hh3ETdQKrmSI3QS0hme7g', 'duration_ms': 199920, 'name': 'Too Many Nights (feat. Don Toliver & with Future)', 'popularity': 89}","{'danceability': 0.684, 'energy': 0.671, 'loudness': -4.392, 'speechiness': 0.0464, 'acousticness': 0.189, 'instrumentalness': 2.37e-05, 'liveness': 0.122, 'valence': 0.156, 'tempo': 88.048}","{'id': '7txGsnDSqVMoRl6RQ9XyZP', 'name': 'HEROES & VILLAINS', 'release_date': '2022-12-02'}","{'id': '0iEtIxbK0KxaSlF7G42ZOp', 'name': 'Metro Boomin'}"
4VMRsbfZzd3SfQtaJ1Wpwi,"{'id': '4VMRsbfZzd3SfQtaJ1Wpwi', 'duration_ms': 268235, 'name': 'Double Fantasy (with Future)', 'popularity': 87}","{'danceability': 0.6, 'energy': 0.567, 'loudness': -7.269, 'speechiness': 0.033, 'acousticness': 0.00621, 'instrumentalness': 8.73e-06, 'liveness': 0.495, 'valence': 0.0951, 'tempo': 119.043}","{'id': '0Ct52rooGyvjv6qXrBPNzm', 'name': 'Double Fantasy', 'release_date': '2023-04-21'}","{'id': '1RyvyyTE3xzB2ZywiAwp0i', 'name': 'Future'}"
59nOXPmaKlBfGMDeOVGrIK,"{'id': '59nOXPmaKlBfGMDeOVGrIK', 'duration_ms': 189893, 'name': 'WAIT FOR U (feat. Drake & Tems)', 'popularity': 87}","{'danceability': 0.463, 'energy': 0.642, 'loudness': -4.474, 'speechiness': 0.34, 'acousticness': 0.314, 'instrumentalness': 0, 'liveness': 0.0686, 'valence': 0.339, 'tempo': 83.389}","{'id': '6tE9Dnp2zInFij4jKssysL', 'name': 'I NEVER LIKED YOU', 'release_date': '2022-04-29'}","{'id': '3TVXtAsR1Inumwj472S9r4', 'name': 'Drake'}"
52NGJPcLUzQq5w7uv4e5gf,"{'id': '52NGJPcLUzQq5w7uv4e5gf', 'duration_ms': 238253, 'name': 'Private Landing (feat. Justin Bieber & Future)', 'popularity': 84}","{'danceability': 0.843, 'energy': 0.669, 'loudness': -4.105, 'speechiness': 0.0639, 'acousticness': 0.0846, 'instrumentalness': 1.28e-05, 'liveness': 0.105, 'valence': 0.435, 'tempo': 136.979}","{'id': '26z5llzd194mcCZHADWd6k', 'name': 'Love Sick', 'release_date': '2023-02-24'}","{'id': '4Gso3d4CscCijv0lmajZWs', 'name': 'Don Toliver'}"
0VgkVdmE4gld66l8iyGjgx,"{'id': '0VgkVdmE4gld66l8iyGjgx', 'duration_ms': 204600, 'name': 'Mask Off', 'popularity': 84}","{'danceability': 0.833, 'energy': 0.434, 'loudness': -8.795, 'speechiness': 0.431, 'acousticness': 0.0102, 'instrumentalness': 0.0219, 'liveness': 0.165, 'valence': 0.281, 'tempo': 150.062}","{'id': '17FBoXK1NU2rvJBbzdzw0r', 'name': 'FUTURE', 'release_date': '2017-06-30'}","{'id': '1RyvyyTE3xzB2ZywiAwp0i', 'name': 'Future'}"
