song_id,song_data,audio_feature,albums,artists
5GJfbNZvW6p9hncN2eWjK5,"{'id': '5GJfbNZvW6p9hncN2eWjK5', 'duration_ms': 244666, 'name': 'On Top Of The World - Feat. Phaz', 'popularity': 12}","{'danceability': 0.615, 'energy': 0.648, 'loudness': -8.767, 'speechiness': 0.208, 'acousticness': 0.102, 'instrumentalness': 0, 'liveness': 0.302, 'valence': 0.452, 'tempo': 168.097}","{'id': '2DOZST8leHzy4VnqFJbnPS', 'name': 'A Million Dollas Later', 'release_date': '1998'}","{'id': '3EsPYCSw4x0PlRiRgsaxjj', 'name': 'Herschelwood Hardheadz'}"
3EB8pOJZywXyuckGPQgVL4,"{'id': '3EB8pOJZywXyuckGPQgVL4', 'duration_ms': 264800, 'name': 'Baller In The Mix - Remix', 'popularity': 5}","{'danceability': 0.609, 'energy': 0.515, 'loudness': -8.74, 'speechiness': 0.371, 'acousticness': 0.0823, 'instrumentalness': 0.00754, 'liveness': 0.169, 'valence': 0.51, 'tempo': 171.893}","{'id': '2DOZST8leHzy4VnqFJbnPS', 'name': 'A Million Dollas Later', 'release_date': '1998'}","{'id': '3EsPYCSw4x0PlRiRgsaxjj', 'name': 'Herschelwood Hardheadz'}"
1jpgYbe2cLdefeiEd13ZkG,"{'id': '1jpgYbe2cLdefeiEd13ZkG', 'duration_ms': 218400, 'name': 'Put Your Hands Up', 'popularity': 5}","{'danceability': 0.793, 'energy': 0.747, 'loudness': -6.809, 'speechiness': 0.258, 'acousticness': 0.073, 'instrumentalness': 0, 'liveness': 0.128, 'valence': 0.584, 'tempo': 90.044}","{'id': '2DOZST8leHzy4VnqFJbnPS', 'name': 'A Million Dollas Later', 'release_date': '1998'}","{'id': '3EsPYCSw4x0PlRiRgsaxjj', 'name': 'Herschelwood Hardheadz'}"
0WmaMKaqbCKdmquhxnuGlR,"{'id': '0WmaMKaqbCKdmquhxnuGlR', 'duration_ms': 265520, 'name': ""It's Gonna Be Alright - Feat. Phaz"", 'popularity': 5}","{'danceability': 0.806, 'energy': 0.732, 'loudness': -6.005, 'speechiness': 0.133, 'acousticness': 0.204, 'instrumentalness': 0, 'liveness': 0.0558, 'valence': 0.872, 'tempo': 92.041}","{'id': '2DOZST8leHzy4VnqFJbnPS', 'name': 'A Million Dollas Later', 'release_date': '1998'}","{'id': '3EsPYCSw4x0PlRiRgsaxjj', 'name': 'Herschelwood Hardheadz'}"
7zGocrMt22JXz5L7uI6ghp,"{'id': '7zGocrMt22JXz5L7uI6ghp', 'duration_ms': 248173, 'name': 'Wise Guyz On Tha Shine - Feat. Mobb Figgaz', 'popularity': 4}","{'danceability': 0.477, 'energy': 0.666, 'loudness': -8.188, 'speechiness': 0.456, 'acousticness': 0.118, 'instrumentalness': 0, 'liveness': 0.148, 'valence': 0.685, 'tempo': 172.523}","{'id': '2DOZST8leHzy4VnqFJbnPS', 'name': 'A Million Dollas Later', 'release_date': '1998'}","{'id': '3EsPYCSw4x0PlRiRgsaxjj', 'name': 'Herschelwood Hardheadz'}"
3pzuN0Mjrjl4c0qV1hIk4V,"{'id': '3pzuN0Mjrjl4c0qV1hIk4V', 'duration_ms': 307866, 'name': 'Homies - Feat. Phaz', 'popularity': 5}","{'danceability': 0.684, 'energy': 0.612, 'loudness': -7.823, 'speechiness': 0.195, 'acousticness': 0.0553, 'instrumentalness': 3.43e-06, 'liveness': 0.171, 'valence': 0.492, 'tempo': 77.052}","{'id': '2DOZST8leHzy4VnqFJbnPS', 'name': 'A Million Dollas Later', 'release_date': '1998'}","{'id': '3EsPYCSw4x0PlRiRgsaxjj', 'name': 'Herschelwood Hardheadz'}"
3nfBFS2asqzjo47MRguk8f,"{'id': '3nfBFS2asqzjo47MRguk8f', 'duration_ms': 311226, 'name': 'I Want Ya - Feat. Phaz', 'popularity': 3}","{'danceability': 0.734, 'energy': 0.592, 'loudness': -4.952, 'speechiness': 0.265, 'acousticness': 0.00504, 'instrumentalness': 4.03e-06, 'liveness': 0.186, 'valence': 0.521, 'tempo': 81.068}","{'id': '2DOZST8leHzy4VnqFJbnPS', 'name': 'A Million Dollas Later', 'release_date': '1998'}","{'id': '3EsPYCSw4x0PlRiRgsaxjj', 'name': 'Herschelwood Hardheadz'}"
3XFkGG4yR7aNpmsB5ulLTf,"{'id': '3XFkGG4yR7aNpmsB5ulLTf', 'duration_ms': 258120, 'name': 'On the Southside', 'popularity': 9}","{'danceability': 0.741, 'energy': 0.703, 'loudness': -7.86, 'speechiness': 0.238, 'acousticness': 0.119, 'instrumentalness': 0, 'liveness': 0.341, 'valence': 0.681, 'tempo': 146.032}","{'id': '1VZH1ocprnAndB5jPakQ31', 'name': 'Reckless Life', 'release_date': '2009-01-13'}","{'id': '6VOP45QGqtvMWZ2AnjdiyM', 'name': 'Mr Trippalot'}"
3TpzNugfWxwa1zBYXmHWOJ,"{'id': '3TpzNugfWxwa1zBYXmHWOJ', 'duration_ms': 178000, 'name': 'Born to Be a Gangster', 'popularity': 9}","{'danceability': 0.788, 'energy': 0.87, 'loudness': -3.03, 'speechiness': 0.0401, 'acousticness': 0.00991, 'instrumentalness': 0.0165, 'liveness': 0.0738, 'valence': 0.846, 'tempo': 97.002}","{'id': '2zlEjHM3YqPsRTVOgn01Fg', 'name': 'OG Trippalot', 'release_date': '2019-01-13'}","{'id': '6VOP45QGqtvMWZ2AnjdiyM', 'name': 'Mr Trippalot'}"
0lNQALASSNbB2I1TalHNtz,"{'id': '0lNQALASSNbB2I1TalHNtz', 'duration_ms': 144000, 'name': 'Puro Pa Delante', 'popularity': 6}","{'danceability': 0.683, 'energy': 0.492, 'loudness': -17.642, 'speechiness': 0.123, 'acousticness': 0.00856, 'instrumentalness': 0, 'liveness': 0.155, 'valence': 0.741, 'tempo': 97.033}","{'id': '2zlEjHM3YqPsRTVOgn01Fg', 'name': 'OG Trippalot', 'release_date': '2019-01-13'}","{'id': '6VOP45QGqtvMWZ2AnjdiyM', 'name': 'Mr Trippalot'}"
79pVK9DmAIB1mjXZyMoZkx,"{'id': '79pVK9DmAIB1mjXZyMoZkx', 'duration_ms': 185312, 'name': 'Built Tough', 'popularity': 5}","{'danceability': 0.697, 'energy': 0.833, 'loudness': -4.003, 'speechiness': 0.228, 'acousticness': 0.0343, 'instrumentalness': 2.45e-05, 'liveness': 0.297, 'valence': 0.521, 'tempo': 169.941}","{'id': '2zlEjHM3YqPsRTVOgn01Fg', 'name': 'OG Trippalot', 'release_date': '2019-01-13'}","{'id': '6VOP45QGqtvMWZ2AnjdiyM', 'name': 'Mr Trippalot'}"
7iUE1uGm1yfG5bmJtu2qMF,"{'id': '7iUE1uGm1yfG5bmJtu2qMF', 'duration_ms': 195786, 'name': 'In the Varrio (feat. Dinero)', 'popularity': 4}","{'danceability': 0.878, 'energy': 0.547, 'loudness': -7.416, 'speechiness': 0.274, 'acousticness': 0.4, 'instrumentalness': 0, 'liveness': 0.0862, 'valence': 0.753, 'tempo': 94.991}","{'id': '1VZH1ocprnAndB5jPakQ31', 'name': 'Reckless Life', 'release_date': '2009-01-13'}","{'id': '6VOP45QGqtvMWZ2AnjdiyM', 'name': 'Mr Trippalot'}"
3RSJR7PMBElbnVjZymSN6T,"{'id': '3RSJR7PMBElbnVjZymSN6T', 'duration_ms': 190106, 'name': 'Im From South Central', 'popularity': 5}","{'danceability': 0.787, 'energy': 0.638, 'loudness': -6.779, 'speechiness': 0.107, 'acousticness': 0.153, 'instrumentalness': 0, 'liveness': 0.804, 'valence': 0.457, 'tempo': 94.979}","{'id': '1VZH1ocprnAndB5jPakQ31', 'name': 'Reckless Life', 'release_date': '2009-01-13'}","{'id': '6VOP45QGqtvMWZ2AnjdiyM', 'name': 'Mr Trippalot'}"
1sTvGY0GujyGGUvY3H2a9y,"{'id': '1sTvGY0GujyGGUvY3H2a9y', 'duration_ms': 213446, 'name': 'Entre Pelones', 'popularity': 5}","{'danceability': 0.779, 'energy': 0.759, 'loudness': -8.799, 'speechiness': 0.42, 'acousticness': 0.0424, 'instrumentalness': 0, 'liveness': 0.722, 'valence': 0.96, 'tempo': 89.032}","{'id': '60y5UtRV55PtP7DumPHN1s', 'name': 'Entre Pelones', 'release_date': '2022-02-18'}","{'id': '6VOP45QGqtvMWZ2AnjdiyM', 'name': 'Mr Trippalot'}"
19a8TlcBnfhe7nu38V8D37,"{'id': '19a8TlcBnfhe7nu38V8D37', 'duration_ms': 223466, 'name': 'G Life', 'popularity': 4}","{'danceability': 0.896, 'energy': 0.762, 'loudness': -7.931, 'speechiness': 0.211, 'acousticness': 0.0709, 'instrumentalness': 0, 'liveness': 0.151, 'valence': 0.692, 'tempo': 83.999}","{'id': '2zlEjHM3YqPsRTVOgn01Fg', 'name': 'OG Trippalot', 'release_date': '2019-01-13'}","{'id': '6VOP45QGqtvMWZ2AnjdiyM', 'name': 'Mr Trippalot'}"
